10000
3
25
75
0	40	50	0	0	960	0
1	25	85	20	0	960	0
2	22	75	30	0	960	0
3	22	85	10	0	960	0
4	20	80	40	0	960	0
5	20	85	20	0	960	0
6	18	75	20	0	960	0
7	15	75	20	0	960	0
8	15	80	10	0	960	0
9	10	35	20	0	960	0
10	10	40	30	0	960	0
11	8	40	40	0	960	0
12	8	45	20	0	960	0
13	5	35	10	0	960	0
14	5	45	10	0	960	0
15	2	40	20	0	960	0
16	0	40	20	0	960	0
17	0	45	20	0	960	0
18	44	5	20	0	960	0
19	42	10	40	0	960	0
20	42	15	10	0	960	0
21	40	5	10	0	960	0
22	40	15	40	0	960	0
23	38	5	30	0	960	0
24	38	15	10	0	960	0
25	35	5	20	0	960	0
1	23	86	20	22	933	10
2	25	84	20	0	716	10
3	27	84	20	0	822	10
4	23	75	30	200	960	10
5	22	74	30	8	927	10
6	20	75	30	177	960	10
7	21	85	10	151	960	10
8	24	84	10	0	766	10
9	22	85	10	65	960	10
10	18	82	40	456	576	10
11	18	79	40	567	687	10
12	20	79	40	557	677	10
13	22	86	20	14	923	10
14	22	86	20	127	960	10
15	22	86	20	0	790	10
16	20	75	20	248	368	10
17	17	73	20	461	581	10
18	18	77	20	307	427	10
19	15	74	20	88	960	10
20	13	75	20	137	960	10
21	14	74	20	10	924	10
22	17	81	10	471	591	10
23	14	81	10	555	675	10
24	17	81	10	416	536	10
25	8	35	20	351	471	10
26	8	36	20	546	666	10
27	9	37	20	541	661	10
28	10	39	30	548	668	10
29	9	38	30	452	572	10
30	10	42	30	423	543	10
31	10	42	40	233	353	10
32	10	41	40	324	444	10
33	8	42	40	195	315	10
34	7	46	20	116	960	10
35	10	44	20	83	960	10
36	10	47	20	0	888	10
37	7	35	10	495	615	10
38	4	36	10	846	960	10
39	6	33	10	632	752	10
40	3	44	10	7	127	10
41	6	47	10	0	61	10
42	3	46	10	36	156	10
43	2	39	20	71	191	10
44	0	40	20	184	304	10
45	4	40	20	7	127	10
46	2	40	20	227	347	10
47	-1	39	20	224	344	10
48	1	39	20	183	303	10
49	0	44	20	785	905	10
50	-2	45	20	693	813	10
51	-1	43	20	579	699	10
52	44	6	20	405	525	10
53	42	4	20	512	632	10
54	43	6	20	410	530	10
55	44	9	40	394	514	10
56	42	10	40	321	441	10
57	42	12	40	195	315	10
58	42	15	10	459	579	10
59	40	13	10	693	813	10
60	41	15	10	705	825	10
61	41	4	10	77	960	10
62	39	4	10	0	715	10
63	39	4	10	0	732	10
64	39	14	40	284	404	10
65	41	15	40	569	689	10
66	40	13	40	428	548	10
67	39	6	30	205	325	10
68	36	7	30	360	480	10
69	40	5	30	234	354	10
70	37	14	10	593	713	10
71	38	16	10	643	763	10
72	40	17	10	622	742	10
73	34	4	20	780	900	10
74	37	6	20	794	914	10
75	36	6	20	944	960	10
