                 Best                    0110        1110        2110        0120        1120        2120        0121        1121        2121        0111        1111        2111
0050_C101.txt    [0111: (5, 387)]    (5, 494)    (6, 554)    (5, 494)    (5, 433)    (6, 554)    (6, 582)    (7, 792)    (5, 404)    (7, 586)    (5, 387)    (5, 404)    (5, 387)
0050_C102.txt    [1111: (5, 419)]    (5, 506)    (6, 706)    (5, 506)    (6, 681)    (6, 713)    (6, 586)    (6, 879)    (5, 427)    (6, 679)    (5, 493)    (5, 419)    (5, 493)
0050_C103.txt    [1111: (5, 453)]    (6, 672)    (6, 675)    (6, 676)    (6, 600)    (6, 701)    (7, 663)    (6, 699)    (5, 464)    (6, 563)    (5, 490)    (5, 453)    (5, 486)
0050_C104.txt    [1121: (5, 420)]    (6, 657)    (6, 659)    (6, 657)    (5, 457)    (6, 756)    (5, 571)    (5, 569)    (5, 420)    (5, 514)    (5, 519)    (5, 446)    (5, 554)
0050_C105.txt    [1121: (5, 434)]    (5, 468)    (6, 683)    (5, 468)    (5, 471)    (6, 609)    (6, 593)    (6, 625)    (5, 434)    (6, 510)    (5, 476)    (5, 434)    (5, 476)
0050_C106.txt    [1121: (5, 400)]    (5, 468)    (6, 712)    (5, 468)    (5, 467)    (6, 712)    (6, 542)    (6, 643)    (5, 400)    (7, 574)    (5, 475)    (5, 402)    (5, 475)
0050_C107.txt    [1121: (5, 411)]    (5, 466)    (6, 569)    (5, 466)    (5, 480)    (6, 578)    (6, 671)    (6, 577)    (5, 411)    (6, 622)    (5, 470)    (5, 411)    (5, 470)
0050_C108.txt    [0120: (5, 408)]    (5, 471)    (5, 530)    (5, 471)    (5, 408)    (6, 628)    (6, 621)    (6, 725)    (5, 415)    (6, 585)    (6, 603)    (5, 418)    (6, 554)
0050_C109.txt    [1121: (5, 402)]    (5, 544)    (6, 477)    (5, 544)    (5, 439)    (6, 464)    (5, 576)    (6, 728)    (5, 402)    (6, 694)    (5, 559)    (5, 417)    (5, 544)
0050_C201.txt    [0110: (2, 445)]    (2, 445)    (2, 507)    (2, 445)    (2, 445)    (2, 507)    (2, 445)    (2, 639)    (2, 445)    (2, 445)    (2, 449)    (2, 445)    (2, 449)
