                          Best                     0,0         1,0         2,0         3,0       0,0.1       1,0.1       2,0.1       3,0.1       0,0.2       1,0.2       2,0.2       3,0.2       0,0.3       1,0.3       2,0.3       3,0.3       0,0.4       1,0.4       2,0.4       3,0.4
0025_0075_R101_CTW_CC.txt [1,0.3: (10, 821)]   (11, 828)   (10, 869)   (10, 848)   (10, 853)   (11, 828)   (10, 869)   (10, 861)   (10, 878)   (11, 928)   (10, 873)   (10, 861)   (10, 877)   (12, 955)   (10, 821)   (10, 861)   (10, 877)   (11, 919)   (11, 855)   (10, 911)   (11, 886)
0025_0075_R102_CTW_CC.txt [2,0.3: (8, 659)]    (9, 793)    (8, 744)    (8, 731)    (8, 775)    (9, 793)    (8, 746)    (9, 839)    (8, 763)    (9, 793)    (9, 745)    (8, 681)    (8, 786)    (9, 745)    (9, 743)    (8, 659)    (8, 739)    (9, 795)    (9, 789)    (8, 758)    (8, 772)
0025_0075_R103_CTW_CC.txt [3,0: (5, 542)]     (7, 627)    (7, 616)    (7, 611)    (5, 542)    (7, 629)    (7, 616)    (6, 567)    (6, 624)    (7, 629)    (7, 696)    (6, 559)    (7, 689)    (7, 639)    (6, 666)    (7, 686)    (7, 679)    (8, 764)    (6, 666)    (6, 627)    (6, 670)
0025_0075_R104_CTW_CC.txt [1,0.2: (5, 540)]    (8, 692)    (7, 653)    (6, 587)    (6, 610)    (7, 655)    (7, 650)    (5, 553)    (6, 667)    (8, 692)    (5, 540)    (5, 553)    (5, 554)    (7, 680)    (6, 573)    (5, 578)    (5, 589)    (6, 664)    (7, 660)    (6, 702)    (6, 715)
0025_0075_R105_CTW_CC.txt [2,0: (7, 663)]     (8, 761)    (8, 733)    (7, 663)    (8, 736)    (8, 761)    (8, 733)    (7, 715)    (8, 759)    (8, 761)    (8, 733)    (8, 718)    (8, 768)    (9, 812)    (8, 663)    (8, 743)    (8, 859)    (9, 812)    (8, 663)    (8, 704)    (8, 836)
0025_0075_R106_CTW_CC.txt [1,0.3: (6, 552)]    (7, 671)    (7, 709)    (6, 576)    (6, 663)    (7, 671)    (7, 699)    (6, 662)    (6, 679)    (6, 599)    (7, 699)    (6, 653)    (6, 687)    (6, 599)    (6, 552)    (6, 601)    (6, 691)    (7, 670)    (6, 617)    (6, 611)    (6, 607)
0025_0075_R107_CTW_CC.txt [1,0.3: (5, 520)]    (7, 675)    (6, 509)    (6, 583)    (5, 553)    (7, 675)    (5, 526)    (7, 679)    (5, 588)    (7, 690)    (5, 526)    (7, 649)    (6, 613)    (7, 680)    (5, 520)    (5, 582)    (6, 627)    (7, 678)    (5, 557)    (5, 609)    (5, 583)
0025_0075_R108_CTW_CC.txt [1,0.3: (5, 487)]    (6, 611)    (5, 509)    (5, 512)    (5, 560)    (6, 611)    (5, 509)    (5, 545)    (5, 597)    (6, 611)    (5, 509)    (5, 555)    (5, 559)    (6, 604)    (5, 487)    (6, 593)    (5, 559)    (6, 593)    (5, 511)    (5, 559)    (6, 689)
0025_0075_R109_CTW_CC.txt [2,0.4: (5, 601)]    (6, 618)    (6, 644)    (7, 601)    (6, 601)    (6, 667)    (6, 649)    (7, 597)    (6, 601)    (6, 667)    (6, 602)    (6, 588)    (6, 601)    (6, 670)    (6, 609)    (6, 588)    (6, 601)    (6, 691)    (6, 569)    (5, 601)    (6, 575)
0025_0075_R110_CTW_CC.txt [3,0: (5, 515)]     (6, 674)    (6, 537)    (6, 599)    (5, 515)    (6, 674)    (6, 538)    (6, 601)    (6, 677)    (6, 692)    (6, 578)    (5, 551)    (6, 589)    (6, 706)    (6, 642)    (5, 593)    (6, 639)    (6, 620)    (5, 542)    (5, 532)    (6, 650)
0025_0075_R111_CTW_CC.txt [1,0.3: (5, 544)]    (6, 653)    (6, 615)    (6, 608)    (6, 616)    (6, 653)    (6, 590)    (5, 565)    (6, 623)    (6, 646)    (6, 577)    (5, 565)    (6, 623)    (7, 694)    (5, 544)    (6, 626)    (5, 602)    (7, 772)    (5, 573)    (6, 599)    (6, 631)
0025_0075_R112_CTW_CC.txt [2,0.1: (5, 482)]    (5, 551)    (5, 551)    (5, 492)    (5, 542)    (5, 551)    (5, 550)    (5, 482)    (5, 542)    (5, 551)    (5, 502)    (5, 519)    (5, 542)    (5, 551)    (5, 522)    (5, 516)    (5, 524)    (5, 545)    (5, 548)    (5, 537)    (5, 537)
0025_0075_R201_CTW_CC.txt [3,0.2: (2, 721)]    (2, 766)    (2, 770)    (2, 732)    (2, 751)    (2, 766)    (2, 770)    (2, 755)    (2, 750)    (2, 766)    (2, 770)    (2, 755)    (2, 721)    (2, 764)    (2, 764)    (2, 827)    (2, 827)    (2, 771)    (2, 755)    (2, 827)    (2, 792)
0025_0075_R202_CTW_CC.txt [2,0.4: (2, 670)]    (2, 705)    (2, 701)    (2, 710)    (2, 687)    (2, 715)    (2, 699)    (2, 677)    (2, 704)    (2, 715)    (2, 699)    (2, 681)    (2, 741)    (2, 773)    (2, 715)    (2, 704)    (2, 731)    (2, 725)    (2, 727)    (2, 670)    (2, 694)
0025_0075_R203_CTW_CC.txt [1,0.3: (2, 616)]    (2, 641)    (2, 639)    (2, 668)    (2, 681)    (2, 641)    (2, 639)    (2, 654)    (2, 681)    (2, 641)    (2, 639)    (2, 670)    (2, 684)    (2, 641)    (2, 616)    (2, 671)    (2, 649)    (2, 715)    (2, 636)    (2, 714)    (2, 689)
0025_0075_R204_CTW_CC.txt [2,0: (2, 495)]     (2, 576)    (2, 559)    (2, 495)    (2, 498)    (2, 587)    (2, 559)    (2, 536)    (2, 498)    (2, 587)    (2, 559)    (2, 552)    (2, 533)    (2, 550)    (2, 559)    (2, 519)    (2, 533)    (2, 570)    (2, 579)    (2, 547)    (2, 547)
0025_0075_R205_CTW_CC.txt [3,0: (2, 556)]     (2, 748)    (2, 748)    (2, 570)    (2, 556)    (2, 748)    (2, 699)    (2, 557)    (2, 607)    (2, 748)    (2, 641)    (2, 557)    (2, 631)    (2, 691)    (2, 581)    (2, 568)    (2, 578)    (2, 696)    (2, 587)    (2, 566)    (2, 571)
0025_0075_R206_CTW_CC.txt [3,0.4: (1, 527)]    (2, 633)    (2, 571)    (2, 590)    (2, 554)    (2, 660)    (2, 571)    (2, 587)    (2, 564)    (2, 660)    (2, 533)    (2, 539)    (2, 610)    (2, 567)    (2, 533)    (2, 556)    (2, 630)    (2, 541)    (2, 639)    (2, 558)    (1, 527)
0025_0075_R207_CTW_CC.txt [3,0.2: (2, 512)]    (2, 593)    (2, 568)    (2, 548)    (2, 528)    (2, 593)    (2, 568)    (2, 596)    (2, 531)    (2, 593)    (2, 577)    (2, 662)    (2, 512)    (2, 581)    (2, 559)    (2, 635)    (2, 549)    (2, 598)    (2, 566)    (2, 587)    (2, 548)
0025_0075_R208_CTW_CC.txt [2,0.3: (1, 387)]    (2, 497)    (2, 492)    (2, 492)    (2, 514)    (1, 432)    (2, 468)    (2, 514)    (2, 488)    (2, 497)    (2, 468)    (2, 514)    (2, 496)    (2, 497)    (2, 555)    (1, 387)    (2, 495)    (2, 509)    (2, 492)    (2, 504)    (1, 450)
0025_0075_R209_CTW_CC.txt [1,0.2: (2, 514)]    (2, 676)    (2, 527)    (2, 523)    (2, 564)    (2, 574)    (2, 527)    (2, 522)    (2, 564)    (2, 591)    (2, 514)    (2, 564)    (2, 625)    (2, 591)    (2, 514)    (2, 569)    (2, 624)    (2, 593)    (2, 576)    (2, 624)    (2, 629)
